,Bacteria,Drug,MIC_drug,kingdom,phylum,class,order,family,genus,species,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Drug_class,MolWt,,,
99,Staphylococcus aureus,Amoxicillin,2,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,365.411,,,
100,Escherichia coli,Amoxicillin,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,365.411,,,
101,Actinobacillus pleuropneumoniae,Amoxicillin,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,n,24,36,48,37,2,lungs,Lactams,365.411,,,
102,Pasteurella Multocida,Amoxicillin,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella Multocida,n,12,18,24,37,2,lungs,Lactams,365.411,,,
103,Streptococcus uberis,Amoxicillin,0.25,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus uberis,p,24,36,48,37,2,mammary gland,Lactams,365.411,,,
104,Salmonella enterica,penicillin G,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Carboxylic acids and derivatives,334.397,,,
105,Staphylococcus aureus,penicillin G,1,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Carboxylic acids and derivatives,334.397,,,
106,Escherichia coli,penicillin G,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,334.397,,,
107,Actinobacillus pleuropneumoniae,penicillin G,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,n,24,36,48,37,2,lungs,Carboxylic acids and derivatives,334.397,,,
108,Pasteurella Multocida,penicillin G,0.03,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella Multocida,n,12,18,24,37,2,lungs,Carboxylic acids and derivatives,334.397,,,
109,Salmonella enterica,penicillin G,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Carboxylic acids and derivatives,334.397,,,
110,Staphylococcus aureus,penicillin G,1,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Carboxylic acids and derivatives,334.397,,,
111,Escherichia coli,penicillin G,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,334.397,,,
112,Actinobacillus pleuropneumoniae,penicillin G,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,n,24,36,48,37,2,lungs,Carboxylic acids and derivatives,334.397,,,
113,Pasteurella Multocida,penicillin G,0.03,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella Multocida,n,12,18,24,37,2,lungs,Carboxylic acids and derivatives,334.397,,,
114,Salmonella enterica,Gentamicin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Aminoglycoside ,477.603,,,
115,Staphylococcus aureus,Gentamicin,4,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Aminoglycoside ,477.603,,,
116,Escherichia coli,Gentamicin,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Aminoglycoside ,477.603,,,
117,Actinobacillus pleuropneumoniae,Gentamicin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,n,24,36,48,37,2,lungs,Aminoglycoside ,477.603,,,
118,Pasteurella Multocida,Gentamicin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella Multocida,n,12,18,24,37,2,lungs,Aminoglycoside ,477.603,,,
119,Salmonella enterica,Gentamicin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Aminoglycoside ,477.603,,,
120,Staphylococcus aureus,Gentamicin,4,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Aminoglycoside ,477.603,,,
121,Escherichia coli,Gentamicin,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Aminoglycoside ,477.603,,,
122,Actinobacillus pleuropneumoniae,Gentamicin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,n,24,36,48,37,2,lungs,Aminoglycoside ,477.603,,,
123,Pasteurella Multocida,Gentamicin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella Multocida,n,12,18,24,37,2,lungs,Aminoglycoside ,477.603,,,
124,Salmonella enterica,Colistin,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Carboxylic acids and derivatives,2296.971,,,
125,Escherichia coli,Colistin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,2296.971,,,
126,Actinobacillus pleuropneumoniae,Colistin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,n,24,36,48,37,2,lungs,Carboxylic acids and derivatives,2296.971,,,
127,Pasteurella Multocida,Colistin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella Multocida,n,12,18,24,37,2,lungs,Carboxylic acids and derivatives,2296.971,,,
128,Salmonella enterica,Colistin,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Carboxylic acids and derivatives,2296.971,,,
129,Escherichia coli,Colistin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,2296.971,,,
130,Actinobacillus pleuropneumoniae,Colistin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,n,24,36,48,37,2,lungs,Carboxylic acids and derivatives,2296.971,,,
131,Pasteurella Multocida,Colistin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella Multocida,n,12,18,24,37,2,lungs,Carboxylic acids and derivatives,2296.971,,,
132,Enterococcus faecium,Ampicillin,2,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,p,24,36,48,37,2,blood,Organoheterocyclic compounds,349.412,,,
133,Staphylococcus aureus,Ampicillin,4,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organoheterocyclic compounds,349.412,,,
134,Streptococcus mutans,Ampicillin,2,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Organoheterocyclic compounds,349.412,,,
135,Escherichia coli O157,Ampicillin,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organoheterocyclic compounds,349.412,,,
136,Escherichia coli,Ampicillin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organoheterocyclic compounds,349.412,,,
137,Pseudomonas aeruginosa,Ampicillin,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organoheterocyclic compounds,349.412,,,
138,Enterococcus faecium,Chloramphenicol,4,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,p,24,36,48,37,2,blood,Benzene derivatives,323.132,,,
139,Staphylococcus aureus,Chloramphenicol,2,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Benzene derivatives,323.132,,,
140,Streptococcus mutans,Chloramphenicol,4,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Benzene derivatives,323.132,,,
141,Escherichia coli,Chloramphenicol,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Benzene derivatives,323.132,,,
142,Escherichia coli O157,Chloramphenicol,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Benzene derivatives,323.132,,,
143,Pseudomonas aeruginosa,Chloramphenicol,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Benzene derivatives,323.132,,,
144,Enterococcus faecium,Kanamycin,2,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,p,24,36,48,37,2,blood,Organooxygen compounds,484.503,,,
145,Staphylococcus aureus,Kanamycin,4,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,484.503,,,
146,Streptococcus mutans,Kanamycin,4,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Organooxygen compounds,484.503,,,
147,Escherichia coli,Kanamycin,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,484.503,,,
148,Escherichia coli O157,Kanamycin,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,484.503,,,
149,Pseudomonas aeruginosa,Kanamycin,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,484.503,,,
633,Escherichia coli,Imipenem,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,299.352,,,
634,Escherichia coli,Ceftriaxone,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,554.592,,,
635,Escherichia coli,Cefepime,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,480.572,,,
636,Escherichia coli,Ceftazidime,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,546.587,,,
638,Escherichia coli,Imipenem,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,299.352,,,
643,Klebsiella sp.,Imipenem,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella sp.,n,24,48,72,37,2,respiratory tract,Lactams,299.352,,,
644,Klebsiella sp.,Ceftriaxone,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella sp.,n,24,48,72,37,2,respiratory tract,Lactams,554.592,,,
645,Klebsiella sp.,Cefepime,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella sp.,n,24,48,72,37,2,respiratory tract,Lactams,480.572,,,
646,Klebsiella sp.,Ceftazidime,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella sp.,n,24,48,72,37,2,respiratory tract,Lactams,546.587,,,
648,Klebsiella sp.,Imipenem,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella sp.,n,24,48,72,37,2,respiratory tract,Lactams,299.352,,,
650,Klebsiella sp.,Cefepime,128,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella sp.,n,24,48,72,37,2,respiratory tract,Lactams,480.572,,,
651,Klebsiella sp.,Ceftazidime,128,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella sp.,n,24,48,72,37,2,respiratory tract,Lactams,546.587,,,
653,Pseudomonas aeruginosa,Imipenem,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,299.352,,,
654,Pseudomonas aeruginosa,Ceftriaxone,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,554.592,,,
655,Pseudomonas aeruginosa,Cefepime,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,480.572,,,
656,Pseudomonas aeruginosa,Ceftazidime,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,546.587,,,
658,Pseudomonas aeruginosa,Imipenem,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,299.352,,,
660,Pseudomonas aeruginosa,Cefepime,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,480.572,,,
661,Pseudomonas aeruginosa,Ceftazidime,128,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,546.587,,,
663,Acinetobacter baumannii,Imipenem,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,299.352,,,
664,Acinetobacter baumannii,Ceftriaxone,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,554.592,,,
665,Acinetobacter baumannii,Cefepime,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,480.572,,,
666,Acinetobacter baumannii,Ceftazidime,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,546.587,,,
668,Acinetobacter baumannii,Imipenem,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,299.352,,,
670,Acinetobacter baumannii,Cefepime,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,480.572,,,
671,Acinetobacter baumannii,Ceftazidime,128,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,546.587,,,
673,Proteus sp.,Imipenem,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus sp.,n,24,48,72,37,2,soil,Lactams,299.352,,,
674,Proteus sp.,Ceftriaxone,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus sp.,n,24,48,72,37,2,soil,Lactams,554.592,,,
675,Proteus sp.,Cefepime,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus sp.,n,24,48,72,37,2,soil,Lactams,480.572,,,
676,Proteus sp.,Ceftazidime,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus sp.,n,24,48,72,37,2,soil,Lactams,546.587,,,
678,Proteus sp.,Imipenem,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus sp.,n,24,48,72,37,2,soil,Lactams,299.352,,,
680,Proteus sp.,Cefepime,128,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus sp.,n,24,48,72,37,2,soil,Lactams,480.572,,,
681,Proteus sp.,Ceftazidime,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus sp.,n,24,48,72,37,2,soil,Lactams,546.587,,,
691,Staphylococcus epidermidis,Gentamicin,500,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Aminoglycoside ,477.603,,,
692,Staphylococcus epidermidis,Gentamicin,500,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Aminoglycoside ,477.603,,,
693,Staphylococcus epidermidis,Gentamicin,500,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Aminoglycoside ,477.603,,,
694,Staphylococcus epidermidis,Gentamicin,500,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Aminoglycoside ,477.603,,,
695,Staphylococcus epidermidis,Gentamicin,125,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Aminoglycoside ,477.603,,,
696,Staphylococcus epidermidis,Gentamicin,250,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Aminoglycoside ,477.603,,,
697,Staphylococcus epidermidis,Gentamicin,500,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Aminoglycoside ,477.603,,,
698,Staphylococcus epidermidis,Gentamicin,500,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Aminoglycoside ,477.603,,,
699,Staphylococcus epidermidis,Gentamicin,500,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Aminoglycoside ,477.603,,,
700,Escherichia coli,Chloramphenicol,0.75,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Benzene derivatives,323.132,,,
701,Salmonella typhimurium,Chloramphenicol,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Benzene derivatives,323.132,,,
702,Staphylococcus aureus,Chloramphenicol,0.1,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Benzene derivatives,323.132,,,
