,Bacteria,Drug,Drug_dose (μg/disk),ZOI_drug,kingdom,phylum,class,order,family,genus,species,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Drug_class,MolWt
10,Staphylococcus aureus,Chloramphenicol,10,9,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Benzene derivatives,323.132
11,Micrococcus luteus,Chloramphenicol,10,10,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,p,240,288,336,30,1,soil,Benzene derivatives,323.132
12,Escherichia coli,Ampicillin,10,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organoheterocyclic compounds,349.412
13,Salmonella typhi,Ampicillin,10,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Organoheterocyclic compounds,349.412
14,Staphylococcus aureus,Ampicillin,10,11,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organoheterocyclic compounds,349.412
15,Micrococcus luteus,Ampicillin,10,10,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,p,240,288,336,30,1,soil,Organoheterocyclic compounds,349.412
24,Escherichia coli,Trimethoprim,2.5,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,phenol ethers,290.323
25,Staphylococcus aureus,Trimethoprim,2.5,0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,phenol ethers,290.323
26,Micrococcus luteus,Trimethoprim,2.5,0,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,p,240,288,336,30,1,soil,phenol ethers,290.323
27,Pseudomonas aeruginosa,Trimethoprim,2.5,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,phenol ethers,290.323
28,Enterococcus faecalis,Trimethoprim,2.5,0,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,p,24,36,48,37,2,urine,phenol ethers,290.323
29,Acinetobacter baumannii,Trimethoprim,2.5,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,phenol ethers,290.323
30,Klebsiella pneumoniae,Trimethoprim,2.5,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,phenol ethers,290.323
31,Bacillus spp.,Trimethoprim,2.5,0,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,unclassified Bacillus,p,4,10,16,30,2,soil,phenol ethers,290.323
32,Escherichia coli,Gentamicin,10,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Aminoglycoside ,477.603
33,Staphylococcus aureus,Gentamicin,10,15,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Aminoglycoside ,477.603
34,Micrococcus luteus,Gentamicin,10,0,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,p,240,288,336,30,1,soil,Aminoglycoside ,477.603
35,Pseudomonas aeruginosa,Gentamicin,10,14,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Aminoglycoside ,477.603
36,Enterococcus faecalis,Gentamicin,10,8,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,p,24,36,48,37,2,urine,Aminoglycoside ,477.603
37,Acinetobacter baumannii,Gentamicin,10,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Aminoglycoside ,477.603
38,Klebsiella pneumoniae,Gentamicin,10,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Aminoglycoside ,477.603
39,Bacillus spp.,Gentamicin,10,21,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,unclassified Bacillus,p,4,10,16,30,2,soil,Aminoglycoside ,477.603
40,Escherichia coli,Vancomycin,30,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,carboxylic acids,1449.271
41,Staphylococcus aureus,Vancomycin,30,0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,carboxylic acids,1449.271
42,Micrococcus luteus,Vancomycin,30,0,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,p,240,288,336,30,1,soil,carboxylic acids,1449.271
43,Pseudomonas aeruginosa,Vancomycin,30,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,carboxylic acids,1449.271
44,Enterococcus faecalis,Vancomycin,30,0,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,p,24,36,48,37,2,urine,carboxylic acids,1449.271
45,Acinetobacter baumannii,Vancomycin,30,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,carboxylic acids,1449.271
46,Klebsiella pneumoniae,Vancomycin,30,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,carboxylic acids,1449.271
47,Bacillus spp.,Vancomycin,30,16,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,unclassified Bacillus,p,4,10,16,30,2,soil,carboxylic acids,1449.271
48,Escherichia coli,Ciprofloxacin,10,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Quinolines,331.347
49,Staphylococcus aureus,Ciprofloxacin,10,28,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Quinolines,331.347
50,Micrococcus luteus,Ciprofloxacin,10,19,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,p,240,288,336,30,1,soil,Quinolines,331.347
51,Pseudomonas aeruginosa,Ciprofloxacin,10,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,331.347
52,Enterococcus faecalis,Ciprofloxacin,10,0,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,p,24,36,48,37,2,urine,Quinolines,331.347
53,Acinetobacter baumannii,Ciprofloxacin,10,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Quinolines,331.347
54,Klebsiella pneumoniae,Ciprofloxacin,10,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Quinolines,331.347
55,Bacillus spp.,Ciprofloxacin,10,23,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,unclassified Bacillus,p,4,10,16,30,2,soil,Quinolines,331.347
150,Staphylococcus aureus,penicillin G,10,0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Carboxylic acids and derivatives,334.397
151,Staphylococcus aureus,Amoxicillin,10,7.5,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,365.411
152,Staphylococcus aureus,Carbenicillin,100,28,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Carboxylic acids and derivatives,378.406
153,Staphylococcus aureus,Cephalexin,30,16,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,347.396
154,Staphylococcus aureus,Cefixime,5,29,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,453.458
155,Staphylococcus aureus,Erythromycin,5,10,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,733.937
156,Staphylococcus aureus,Gentamicin,10,25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Aminoglycoside ,477.603
157,Staphylococcus aureus,Amikacin,30,23,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,585.608
158,Staphylococcus aureus,Tetracycline,25,25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Tetracyclines,444.44
159,Staphylococcus aureus,Co-trimoxazole,2,36,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Phenol ethers,543.606
160,Staphylococcus aureus,Clindamycin,300,0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lincomycin,424.991
161,Staphylococcus aureus,Nitrofurantoin,300,25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Azolidines,238.159
162,Staphylococcus aureus,Nalidixic acid,30,25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Diazanaphthalenes,232.239
163,Staphylococcus aureus,Vancomycin,30,0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,carboxylic acids,1449.271
164,Escherichia coli,penicillin G,10,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,334.397
165,Escherichia coli,Amoxicillin,10,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,365.411
166,Escherichia coli,Carbenicillin,100,26,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,378.406
167,Escherichia coli,Cephalexin,30,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,347.396
168,Escherichia coli,Cefixime,5,28,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,453.458
169,Escherichia coli,Erythromycin,5,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,733.937
170,Escherichia coli,Gentamicin,10,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Aminoglycoside ,477.603
171,Escherichia coli,Amikacin,30,27,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,585.608
172,Escherichia coli,Tetracycline,25,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Tetracyclines,444.44
173,Escherichia coli,Co-trimoxazole,2,37,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Phenol ethers,543.606
174,Escherichia coli,Clindamycin,300,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lincomycin,424.991
175,Escherichia coli,Nitrofurantoin,300,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Azolidines,238.159
176,Escherichia coli,Nalidixic acid,30,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Diazanaphthalenes,232.239
177,Escherichia coli,Vancomycin,30,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,carboxylic acids,1449.271
290,Acinetobacter baumannii,Amikacin,500,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organooxygen compounds,585.608
291,Acinetobacter baumannii,Gentamicin,500,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Aminoglycoside ,477.603
292,Acinetobacter baumannii,Kanamycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organooxygen compounds,484.503
293,Acinetobacter baumannii,Streptomycin,500,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organooxygen compounds,581.58
294,Acinetobacter baumannii,Amoxicillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,365.411
295,Acinetobacter baumannii,Ampicillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organoheterocyclic compounds,349.412
296,Acinetobacter baumannii,Penicillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Carboxylic acids and derivatives,372.487
297,Acinetobacter baumannii,Piperacillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Carboxylic acids and derivatives,517.564
298,Acinetobacter baumannii,Faropenem,500,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Carboxylic acids and derivatives,285.321
299,Acinetobacter baumannii,Ceftazidime,500,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,546.587
300,Acinetobacter baumannii,Ceftriaxone,500,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,554.592
301,Acinetobacter baumannii,Cefotaxime,500,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,477.456
302,Acinetobacter baumannii,Polymyxin,500,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,NC,2392.971
303,Acinetobacter baumannii,Vancomycin,500,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,carboxylic acids,1449.271
304,Acinetobacter baumannii,Erythromycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organooxygen compounds,733.937
305,Acinetobacter baumannii,Nalidixic acid,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Diazanaphthalenes,232.239
306,Acinetobacter baumannii,Rifampicin,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Macrolactams,822.953
307,Acinetobacter baumannii,Tetracycline,500,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Tetracyclines,444.44
308,Acinetobacter baumannii,Doxycycline,500,21,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Tetracyclines,462.455
309,Acinetobacter baumannii,Chloramphenicol,500,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Benzene derivatives,323.132
310,Acinetobacter baumannii,Nitrofurantoin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Azolidines,238.159
311,Acinetobacter baumannii,Trimethoprim,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,phenol ethers,290.323
312,Enterobacter cloacae,Amikacin,500,19,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Organooxygen compounds,585.608
313,Enterobacter cloacae,Gentamicin,500,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Aminoglycoside ,477.603
314,Enterobacter cloacae,Kanamycin,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Organooxygen compounds,484.503
315,Enterobacter cloacae,Streptomycin,500,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Organooxygen compounds,581.58
316,Enterobacter cloacae,Amoxicillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Lactams,365.411
317,Enterobacter cloacae,Ampicillin,500,14,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Organoheterocyclic compounds,349.412
318,Enterobacter cloacae,Penicillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Carboxylic acids and derivatives,372.487
319,Enterobacter cloacae,Piperacillin,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Carboxylic acids and derivatives,517.564
320,Enterobacter cloacae,Faropenem,500,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Carboxylic acids and derivatives,285.321
321,Enterobacter cloacae,Ceftazidime,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Lactams,546.587
322,Enterobacter cloacae,Ceftriaxone,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Lactams,554.592
323,Enterobacter cloacae,Cefotaxime,500,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Lactams,477.456
324,Enterobacter cloacae,Polymyxin,500,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,NC,2392.971
325,Enterobacter cloacae,Vancomycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,carboxylic acids,1449.271
326,Enterobacter cloacae,Erythromycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Organooxygen compounds,733.937
327,Enterobacter cloacae,Nalidixic acid,500,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Diazanaphthalenes,232.239
328,Enterobacter cloacae,Rifampicin,500,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Macrolactams,822.953
329,Enterobacter cloacae,Tetracycline,500,21,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Tetracyclines,444.44
330,Enterobacter cloacae,Doxycycline,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Tetracyclines,462.455
331,Enterobacter cloacae,Chloramphenicol,500,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Benzene derivatives,323.132
332,Enterobacter cloacae,Nitrofurantoin,500,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,Azolidines,238.159
